login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
monzo,monzo/abseil-cpp-SwiftPM,2024-09-02T10:17:59Z,0,0,C++,True,True,Apache License 2.0
monzo,monzo/ACKeyboard,2016-05-11T10:15:41Z,0,0,Objective-C,True,False,"BSD 2-Clause ""Simplified"" License"
monzo,monzo/ActiveLabel.swift,2020-08-03T13:00:36Z,0,0,,True,True,MIT License
monzo,monzo/AFNetworking,2016-05-31T14:32:44Z,0,0,Objective-C,True,False,MIT License
monzo,monzo/AFNetworkLumberjackLogger,2015-10-15T12:44:54Z,0,0,Objective-C,True,False,MIT License
monzo,monzo/airflow,2019-05-09T17:01:16Z,1,1,Python,True,False,Apache License 2.0
monzo,monzo/alertmanager,2020-01-24T11:03:31Z,3,3,,True,False,Apache License 2.0
monzo,monzo/Android-Image-Cropper,2018-10-17T12:51:40Z,0,0,Java,True,False,Apache License 2.0
monzo,monzo/android-snowfall,2017-12-18T17:50:34Z,1,1,Kotlin,True,False,Apache License 2.0
monzo,monzo/apns,2015-05-14T09:30:45Z,2,2,Go,True,False,MIT License
monzo,monzo/APNumberPad,2016-05-16T12:37:50Z,2,2,Objective-C,True,False,MIT License
monzo,monzo/ApplePayStubs,2016-03-30T09:17:56Z,0,0,Objective-C,True,False,MIT License
monzo,monzo/argo-rollouts-api,2023-02-13T16:24:08Z,0,0,Go,False,False,Apache License 2.0
monzo,monzo/autoscaler,2019-09-05T14:00:42Z,0,0,Go,True,True,Apache License 2.0
monzo,monzo/aws-nitro-util,2024-02-13T15:16:01Z,26,26,Nix,False,False,MIT License
monzo,monzo/AYVibrantButton,2016-04-20T13:58:03Z,3,3,Objective-C,True,False,MIT License
monzo,monzo/backstage-fork,2021-04-27T14:33:24Z,0,0,,True,False,Apache License 2.0
monzo,monzo/beats,2019-01-14T09:06:23Z,0,0,Go,True,True,Other
monzo,monzo/BKMoneyKit,2016-09-02T10:51:47Z,2,2,Objective-C,True,False,MIT License
monzo,monzo/boarding,2016-01-26T16:10:00Z,0,0,Ruby,True,False,MIT License
monzo,monzo/boringSSL-SwiftPM,2024-09-02T10:18:02Z,0,0,C++,True,True,Other
monzo,monzo/cadvisor,2023-09-11T14:25:49Z,0,0,Go,False,False,Other
